dn,dist,play_type,result,gain/loss,odk,off,def,td,xp,2pt,fg,sm_score,opponent_score,differential,yard_ln,hash,series,off_str,off_form,off_play,play_direction,ret_yards,team,opp_team,home,away,play_#,qtr,personnel,motion,motion_dir,passer_jersey,passer_name,receiver_jersey,receiver_name,rusher_jersey,rusher_name,backfield,eff,opp_rusher,opp_passer,opp_receiver,comment,tempo,protection,def_call,fs_jersey,fs_name,fs_grd,rb*_jersey,rb*_name,rb*_grade,play_category,km_notes,ball_carrier_jersey,ball_carrier_name,bs,stud_grd,concept,2_min_o,rpo,def_front,blitz,game,game_id,play_id,game_seconds_remaining,score_differential,yardline_100,play_type_encoded
1,10,Run,Rush,3.0,O,SMHS,MVHS,,,,,0,6,-6,-20,M,1,L,DEUCE STACK,OHIO,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,17,1,,,,,,,,,,WK,N,,,,,,,,,,,,,1.0,RUN,,,,,,,,,,,Mission Viejo High School,6,1,,-6,120,0.0
2,7,Run,Rush,-3.0,O,SMHS,MVHS,,,,,0,6,-6,-23,M,1,,PAIR STACK,INDIANA,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,18,1,,,,,,,,,,,N,,,,,,,,,,,,,1.0,RUN,,,,,,,,,,,Mission Viejo High School,6,2,,-6,123,0.0
3,10,Pass,Complete,10.0,O,SMHS,MVHS,,,,,0,6,-6,-20,R,1,BAL,TOAD,F OPTION,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,19,1,,,,1.0,John Gazzaniga,4.0,Trent Mosley,,,,Y,,,,,,SCAT,,,,,,,,QUICK,DRIVE UP,4.0,Trent Mosley,,,,,,,,Mission Viejo High School,6,3,,-6,120,1.0
1,10,Run,Rush,5.0,O,SMHS,MVHS,,,,,0,6,-6,-30,R,1,BAL,ACE,BULL NOW,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,20,1,BASE,,,,,,,,,P,Y,,,,,1.0,,,,,,,,1.0,RPO,,,,,,,,,,,Mission Viejo High School,6,4,,-6,130,0.0
2,5,Pass,Complete,15.0,O,SMHS,MVHS,,,,,0,6,-6,-35,M,1,BAL,ACE,BULL NOW,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,21,1,BASE,,,1.0,John Gazzaniga,4.0,Trent Mosley,,,P,Y,,,,,1.0,,,,,,,,1.0,RPO,EYES UP,4.0,Trent Mosley,,,,,,,,Mission Viejo High School,6,5,,-6,135,1.0
1,10,Pass,Incomplete,0.0,O,SMHS,MVHS,,,,,0,6,-6,50,L,1,BAL,ACE,NASCAR 2,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,22,1,,,,1.0,John Gazzaniga,6.0,Hayes Cloutier,,,P,N,,,,,2.0,62,,,,,,,1.0,PLAY ACTION,,,,,,,,,,,Mission Viejo High School,6,6,,-6,50,1.0
2,10,Pass,Penalty,2.0,O,SMHS,MVHS,,,,,0,6,-6,50,L,1,BAL,OPEN,NASCAR 4 POISON,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,23,1,,,,1.0,John Gazzaniga,,,,,P,N,,,,,4.0,63,,,,,,,1.0,PLAY ACTION,,1.0,John Gazzaniga,,,,,,,,Mission Viejo High School,6,7,,-6,50,1.0
2,8,Pass,Incomplete,0.0,O,SMHS,MVHS,,,,,0,6,-6,48,R,1,L,NUB,TSUNAMI,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,24,1,,,,1.0,John Gazzaniga,,,,,STR,N,,,,,,LASSO,,,,,,,0.0,MOVEMENT,,,,,,,,,,,Mission Viejo High School,6,8,,-6,52,1.0
3,8,Pass,Complete,19.0,O,SMHS,MVHS,,,,,0,6,-6,48,R,1,L,TREO,F OPTION,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,25,1,,,,1.0,John Gazzaniga,4.0,Trent Mosley,,,WK,Y,,,,,,ROY,,,,,,,1.0,QUICK,,4.0,Trent Mosley,,,,,,,,Mission Viejo High School,6,9,,-6,52,1.0
1,10,Run,Rush,9.0,O,SMHS,MVHS,,,,,0,6,-6,29,M,1,BAL,SOLO,MISSOURI,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,26,1,,,,,,,,22.0,"Jaion ""Duce"" Smith",P,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Mission Viejo High School,6,10,,-6,71,0.0
2,1,Pass,Rush,0.0,O,SMHS,MVHS,,,,,0,6,-6,20,M,1,BAL,KING ON,FREMONT,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,27,1,,,R,1.0,John Gazzaniga,,,,,,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",0.0,RUN,SPEED OUTSIDE,,,,,,,,,,Mission Viejo High School,6,11,,-6,80,1.0
3,1,Run,Rush,6.0,O,SMHS,MVHS,,,,,0,6,-6,20,R,1,BAL,SOLO,MISSOURI,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,28,1,,,,,,,,22.0,"Jaion ""Duce"" Smith",P,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,PAD LEVEL,22.0,"Jaion ""Duce"" Smith",,,,,,,,Mission Viejo High School,6,12,,-6,80,0.0
1,10,Pass,Scramble,0.0,O,SMHS,MVHS,,,,,0,6,-6,14,R,1,BAL,TURTLE,Z OPTION,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,29,1,,BOX,L,1.0,John Gazzaniga,,,,,,N,,,,,,SCAT,,,,,,,0.0,QUICK,,1.0,John Gazzaniga,,,,,,,,Mission Viejo High School,6,13,,-6,86,1.0
2,10,Run,Rush,3.0,O,SMHS,MVHS,,,,,0,6,-6,14,M,1,L,KING,19,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,30,1,,,,,,,,1.0,John Gazzaniga,STR,N,,,,,,,,,,,,,0.0,Q RUN,,1.0,John Gazzaniga,,,,,,,,Mission Viejo High School,6,14,,-6,86,0.0
3,7,Pass,Complete,6.0,O,SMHS,MVHS,,,,,0,6,-6,11,M,1,R,KING,PELICAN,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,31,1,,X HOP,R,1.0,John Gazzaniga,,,,,WK,Y,,,,,,PELICAN,,,,,,,1.0,SCREEN,,,,,,,,,,,Mission Viejo High School,6,15,,-6,89,1.0
4,2,Run,Rush,0.0,O,SMHS,MVHS,,,,,0,6,-6,6,L,1,BAL,POPEYE,STAR,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,32,1,,,,,,,,1.0,John Gazzaniga,,N,,,,,,,,,,,,,,RUN,,1.0,John Gazzaniga,,,,,,,,Mission Viejo High School,6,16,,-6,94,0.0
1,10,Run,Rush,-16.0,O,SMHS,MVHS,,,,,0,6,-6,45,M,2,R,DAISY,INDIANA,L,0.0,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,37,2,,F FLY,R,,,,,22.0,"Jaion ""Duce"" Smith",WK,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,,,,,,,,,,Mission Viejo High School,6,17,,-6,55,0.0
